cat_state,cat_party,total_votes
RS,PV, 69386
SC,PCB, 4785
SC,PCO, 0
SC,PRTB, 308
SC,PSB, 1415436
SC,PSC, 57549
SC,PSDB, 1585971
SC,PSDC, 4736
SC,PSOL, 250838
SC,PSTU, 24145
SC,PT, 1774956
SC,PV, 24922
SE,PCB, 16669
SE,PCO, 0
SE,PRTB, 2950
SE,PSB, 107178
SE,PSC, 559233
SE,PSDB, 52665
SE,PSDC, 0
SE,PSOL, 58993
SE,PSTU, 44914
SE,PT, 648159
SE,PV, 5270
SP,PCB, 15777
SP,PCO, 14252
SP,PRTB, 115713
SP,PSB, 2038176
SP,PSC, 1383870
SP,PSDB, 30538579
SP,PSDC, 52743
SP,PSOL, 888635
SP,PSTU, 148007
SP,PT, 14810361
SP,PV, 2420490
TO,PCB, 7128
TO,PCO, 0
TO,PRTB, 8313
TO,PSB, 98871
TO,PSC, 32863
TO,PSDB, 35216
TO,PSDC, 1853
TO,PSOL, 11242
TO,PSTU, 0
TO,PT, 90173
TO,PV, 37600
